CreationTime          LastWriteTime         FullName
------------          -------------         --------
8/1/2026 12:50:29 AM  8/1/2026 12:51:10 AM  C:\MGU\desk\fact-sheets\black-codes-of-1865-1866.txt
8/1/2026 1:01:21 AM   8/1/2026 1:02:59 AM   C:\MGU\library\reference\fact-sheets\laws-and-legislation\black-codes-dr...
8/1/2026 3:09:57 AM   8/1/2026 3:09:57 AM   C:\MGU\library\reference\fact-sheets\constitutional-amendments\thirteent...
8/1/2026 3:10:25 AM   8/1/2026 3:10:26 AM   C:\MGU\library\reference\fact-sheets\constitutional-amendments\13th-amen...
8/1/2026 3:14:59 AM   8/1/2026 3:15:01 AM   C:\MGU\library\reference\fact-sheets\laws-and-legislation\emancipation-p...
8/1/2026 3:19:35 AM   8/1/2026 3:19:37 AM   C:\MGU\library\reference\fact-sheets\laws-and-legislation\civil-rights-a...
8/1/2026 3:24:56 AM   8/1/2026 3:24:57 AM   C:\MGU\library\reference\fact-sheets\constitutional-amendments\fourteent...
8/1/2026 3:30:26 AM   8/1/2026 3:30:27 AM   C:\MGU\library\reference\fact-sheets\constitutional-amendments\fifteenth...
8/1/2026 3:37:16 AM   8/1/2026 3:37:18 AM   C:\MGU\library\reference\fact-sheets\laws-and-legislation\reconstruction...
8/1/2026 3:43:48 AM   8/1/2026 3:43:49 AM   C:\MGU\library\reference\fact-sheets\government-programs\freedmens-burea...
8/1/2026 3:49:52 AM   8/1/2026 3:49:53 AM   C:\MGU\library\reference\fact-sheets\historical-events\military-reconstr...
8/1/2026 3:51:28 AM   8/1/2026 3:51:30 AM   C:\MGU\library\reference\fact-sheets\index.html
8/1/2026 3:55:36 AM   8/1/2026 3:55:37 AM   C:\MGU\library\reference\fact-sheets\historical-events\presidential-reco...
8/1/2026 4:12:07 AM   8/1/2026 5:21:43 AM   C:\MGU\library\reference\fact-sheets\african-american-history\index.html
8/1/2026 4:24:23 AM   8/1/2026 4:24:24 AM   C:\MGU\library\reference\fact-sheets\historical-events\radical-reconstru...
8/1/2026 4:31:33 AM   8/1/2026 4:31:34 AM   C:\MGU\library\reference\fact-sheets\historical-events\congressional-rec...
8/1/2026 4:41:21 AM   8/1/2026 4:41:23 AM   C:\MGU\library\reference\fact-sheets\laws-and-legislation\black-codes-18...
8/1/2026 5:20:15 AM   8/2/2026 3:31:53 PM   C:\MGU\library\reference\fact-sheets\concepts-and-terminology\index.html
8/1/2026 5:21:06 AM   8/1/2026 5:21:16 AM   C:\MGU\library\reference\fact-sheets\economic-systems\sharecropping.html
8/1/2026 5:22:13 AM   8/1/2026 5:34:51 AM   C:\MGU\library\reference\fact-sheets\constitutional-amendments\index.html
8/1/2026 5:28:38 AM   8/1/2026 5:28:39 AM   C:\MGU\library\reference\fact-sheets\economic-systems\tenant-farming.html
8/1/2026 5:36:57 AM   8/1/2026 5:36:58 AM   C:\MGU\library\reference\fact-sheets\economic-systems\crop-lien-system.html
8/1/2026 5:41:45 AM   8/1/2026 5:41:45 AM   C:\MGU\library\reference\fact-sheets\constitutional-history\index.html
8/1/2026 5:43:43 AM   8/1/2026 5:43:44 AM   C:\MGU\library\reference\fact-sheets\criminal-justice\convict-leasing.html
8/1/2026 5:45:23 AM   8/2/2026 3:33:40 PM   C:\MGU\library\reference\fact-sheets\criminal-justice\index.html
8/1/2026 5:51:28 AM   8/1/2026 5:51:29 AM   C:\MGU\library\reference\fact-sheets\criminal-justice\debt-peonage.html
8/1/2026 6:11:28 AM   8/2/2026 3:41:51 PM   C:\MGU\library\reference\fact-sheets\economic-systems\index.html
8/1/2026 6:11:30 AM   8/3/2026 1:49:58 AM   C:\MGU\library\reference\fact-sheets\government-programs\index.html
8/1/2026 6:11:33 AM   8/2/2026 3:47:30 PM   C:\MGU\library\reference\fact-sheets\historical-events\index.html
8/1/2026 6:11:34 AM   8/1/2026 6:11:35 AM   C:\MGU\library\reference\fact-sheets\ideologies\index.html
8/1/2026 6:11:37 AM   8/2/2026 3:48:46 PM   C:\MGU\library\reference\fact-sheets\institutions\index.html
8/1/2026 6:11:46 AM   8/1/2026 6:11:47 AM   C:\MGU\library\reference\fact-sheets\international-agreements\index.html
8/1/2026 6:11:47 AM   8/1/2026 6:11:48 AM   C:\MGU\library\reference\fact-sheets\labor-history\index.html
8/1/2026 6:11:49 AM   8/2/2026 3:53:54 PM   C:\MGU\library\reference\fact-sheets\laws-and-legislation\index.html
8/1/2026 6:11:49 AM   8/1/2026 6:11:50 AM   C:\MGU\library\reference\fact-sheets\legal-cases\index.html
8/1/2026 6:11:51 AM   8/1/2026 6:11:52 AM   C:\MGU\library\reference\fact-sheets\military-conflicts\index.html
8/1/2026 6:11:52 AM   8/1/2026 6:11:53 AM   C:\MGU\library\reference\fact-sheets\organizations\index.html
8/1/2026 6:11:53 AM   8/1/2026 6:11:54 AM   C:\MGU\library\reference\fact-sheets\political-movements\index.html
8/1/2026 6:11:54 AM   8/1/2026 6:11:55 AM   C:\MGU\library\reference\fact-sheets\political-parties\index.html
8/1/2026 6:11:57 AM   8/1/2026 6:11:58 AM   C:\MGU\library\reference\fact-sheets\religion\index.html
8/1/2026 6:12:00 AM   8/2/2026 3:54:07 PM   C:\MGU\library\reference\fact-sheets\social-movements\index.html
8/1/2026 6:12:01 AM   8/1/2026 6:12:02 AM   C:\MGU\library\reference\fact-sheets\technology\index.html
8/1/2026 6:12:10 AM   8/1/2026 6:12:10 AM   C:\MGU\library\reference\fact-sheets\government-programs\freedmens-burea...
8/1/2026 6:38:10 AM   8/1/2026 6:38:12 AM   C:\MGU\library\reference\fact-sheets\historical-events\black-political-p...
8/1/2026 6:51:16 AM   8/1/2026 6:51:18 AM   C:\MGU\library\reference\fact-sheets\historical-events\reconstruction-vi...
8/1/2026 6:57:58 AM   8/1/2026 6:58:00 AM   C:\MGU\library\reference\fact-sheets\geography\index.html
8/1/2026 6:59:17 AM   8/1/2026 6:59:18 AM   C:\MGU\library\reference\fact-sheets\culture\index.html
8/1/2026 7:01:23 AM   8/2/2026 3:28:47 PM   C:\MGU\library\reference\fact-sheets\biographies\index.html
8/1/2026 7:02:13 AM   8/1/2026 7:02:13 AM   C:\MGU\library\reference\fact-sheets\organizations\union-league.html
8/1/2026 7:06:46 AM   8/1/2026 7:06:46 AM   C:\MGU\library\reference\fact-sheets\science\index.html
8/1/2026 7:12:16 AM   8/1/2026 7:12:18 AM   C:\MGU\library\reference\fact-sheets\government-programs\freedmens-burea...
8/1/2026 7:28:39 AM   8/1/2026 7:28:41 AM   C:\MGU\library\reference\fact-sheets\organizations\white-league.html
8/1/2026 7:37:18 AM   8/1/2026 7:37:18 AM   C:\MGU\desk\00-worklog\Malone Global University Progress Report.pdf
8/1/2026 7:46:06 AM   8/1/2026 7:46:38 AM   C:\MGU\library\reference\fact-sheets\organizations\red-shirts.html
8/1/2026 12:57:23 PM  8/1/2026 12:57:25 PM  C:\MGU\desk\books\Foreign Languages\french\v2\chapter-06-se-loger-et-org...
8/1/2026 1:12:49 PM   8/1/2026 1:12:50 PM   C:\MGU\library\reference\fact-sheets\institutions\confederate-states-of-...
8/1/2026 1:20:11 PM   8/1/2026 1:20:12 PM   C:\MGU\library\reference\fact-sheets\military-conflicts\us-civil-war\uni...
8/1/2026 1:37:39 PM   8/1/2026 1:55:32 PM   C:\MGU\desk\pop-quiz\study of the Reconstruction era.txt
8/1/2026 1:47:44 PM   8/1/2026 1:47:46 PM   C:\MGU\library\reference\fact-sheets\military-conflicts\us-civil-war\con...
8/1/2026 1:56:58 PM   8/1/2026 1:57:01 PM   C:\MGU\library\reference\fact-sheets\historical-events\reconstruction.html
8/1/2026 2:09:41 PM   8/1/2026 2:09:50 PM   C:\MGU\library\reference\fact-sheets\institutions\slavery-in-the-united-...
8/1/2026 2:16:49 PM   8/1/2026 2:17:01 PM   C:\MGU\library\reference\fact-sheets\economic-systems\plantation-system....
8/1/2026 2:25:28 PM   8/1/2026 2:25:31 PM   C:\MGU\library\reference\fact-sheets\historical-events\secession.html
8/1/2026 2:25:42 PM   8/1/2026 2:25:44 PM   C:\MGU\library\reference\fact-sheets\historical-events\surrender-at-appo...
8/1/2026 2:34:52 PM   8/1/2026 2:34:56 PM   C:\MGU\library\reference\fact-sheets\laws-and-legislation\jim-crow-laws....
8/1/2026 2:40:38 PM   8/1/2026 2:40:40 PM   C:\MGU\library\reference\fact-sheets\concepts-and-terminology\segregatio...
8/1/2026 2:41:54 PM   8/1/2026 2:41:55 PM   C:\MGU\library\reference\fact-sheets\historical-events\jim-crow-era.html
8/1/2026 2:52:38 PM   8/1/2026 2:52:42 PM   C:\MGU\library\reference\fact-sheets\concepts-and-terminology\separate-b...
8/1/2026 2:52:49 PM   8/1/2026 2:52:50 PM   C:\MGU\library\reference\fact-sheets\laws-and-legislation\poll-taxes.html
