CreationTime         LastWriteTime         FullName
------------         -------------         --------
5/2/2026 12:36:42 PM 5/2/2026 1:21:01 PM   C:\MGU\desk\templates\textbook prototype page.html
5/2/2026 1:05:56 PM  5/2/2026 1:05:56 PM   C:\MGU\desk\lessons\old wam-misc\arithmetic-course.html
5/2/2026 1:06:14 PM  5/2/2026 1:06:14 PM   C:\MGU\desk\lessons\old wam-misc\arithmetic-course-2.html
5/2/2026 1:20:05 PM  5/3/2026 10:37:46 AM  C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\front_matter\ta...
5/2/2026 1:20:05 PM  5/2/2026 1:20:05 PM   C:\MGU\desk\lessons\math\arithmetic-desk\toc-proto.html
5/2/2026 1:20:47 PM  5/2/2026 1:20:48 PM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-course-2.html
5/2/2026 1:42:56 PM  5/3/2026 2:14:32 PM   C:\MGU\desk\lessons\math\arithmetic-desk\ebook-toc.txt
5/2/2026 1:45:31 PM  5/2/2026 1:45:31 PM   C:\MGU\desk\lessons\math\arithmetic-desk\learning template.html
5/2/2026 1:52:51 PM  5/2/2026 1:52:51 PM   C:\MGU\desk\lessons\math\arithmetic-desk\problem page with css and helper...
5/2/2026 1:56:00 PM  5/2/2026 1:56:00 PM   C:\MGU\desk\zips\download-trash\preview.html
5/2/2026 1:56:58 PM  5/2/2026 1:56:58 PM   C:\MGU\desk\lessons\math\arithmetic-desk\problem page with more helpers.html
5/2/2026 1:59:21 PM  5/2/2026 1:59:21 PM   C:\MGU\desk\lessons\math\arithmetic-desk\front matter.txt
5/2/2026 2:02:09 PM  5/2/2026 2:03:56 PM   C:\MGU\desk\lessons\math\arithmetic-desk\ARITHMETIC COURSE FRONT MATTER.html
5/2/2026 2:02:43 PM  5/2/2026 2:02:51 PM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\frontmatter.css
5/2/2026 2:04:56 PM  5/3/2026 10:09:04 AM  C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\front_matter\ti...
5/2/2026 2:07:12 PM  5/3/2026 10:13:26 AM  C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\front_matter\co...
5/2/2026 2:07:37 PM  5/2/2026 2:50:52 PM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\front_matter\ab...
5/2/2026 2:08:19 PM  5/2/2026 2:49:07 PM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\front_matter\ho...
5/2/2026 2:09:01 PM  5/2/2026 2:44:03 PM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\front_matter\ar...
5/2/2026 2:09:42 PM  5/2/2026 2:51:30 PM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\front_matter\co...
5/2/2026 2:15:31 PM  5/3/2026 10:02:00 AM  C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\front_matter\co...
5/2/2026 2:56:33 PM  5/2/2026 2:56:33 PM   C:\MGU\desk\lessons\math\arithmetic-desk\back matter.txt
5/2/2026 2:57:18 PM  5/2/2026 2:57:19 PM   C:\MGU\desk\zips\arithmetic_back_matter_html.zip
5/2/2026 3:01:26 PM  5/2/2026 3:44:48 PM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_1\part_1_f...
